氏名,氏名（ひらがな）,年齢,生年月日,性別,血液型,メアド,電話番号,携帯電話番号,郵便番号,住所,会社名,クレジットカード,有効期限,マイナンバー
柳楽 静佳,なぎら しずか,41,1981-06-28,女,B,nagira_shizuka@example.co.jp,03-3667-5554,080-7425-6656,754-0015,山口県山口市小郡大江町2-4-16,株式会社キタムラ,377092055752280,07/27,502912749099
竹尾 栄,たけお さかえ,43,1979-03-15,男,A,sakaetakeo@example.com,0783-42-1587,070-9129-3183,699-0812,島根県出雲市湖陵町二部4-1-6,株式会社プレジール,4621202735041234,07/25,681787600844
佐俣 明浩,さまた あきひろ,51,1971-06-08,男,O,samataakihiro@example.com,03-5601-4936,050-6498-3132,453-0023,愛知県名古屋市中村区若宮町1-1-4,有限会社加藤商店,5351392201657044,01/30,660183330445
芹澤 健治,せりざわ けんじ,52,1970-02-21,男,O,serizawa@example.co.jp,0643-33-5971,080-2125-9171,924-0861,石川県白山市横町2-4-7,株式会社創新,4502163390249703,01/24,145878186263
野坂 郁,のさか かおる,77,1944-12-07,男,AB,kaoru_nosaka@example.com,05-5033-5564,050-1384-3252,390-0303,長野県松本市浅間温泉3-3-15,NaN,5042105502898954,11/23,352966438064
高嶋 千晶,たかしま ちあき,34,1988-07-15,女,B,chiaki_takashima@example.jp,0758-24-2868,080-6498-2033,425-0061,静岡県焼津市中根2-3-5,株式会社セントラル,373801694435415,08/28,625798640159
日笠 麻央,ひかさ まお,48,1974-07-02,男,AB,hikasa_mao@example.co.jp,0796-61-3122,070-2899-4503,790-508,北海道雨竜郡妹背牛町８区3-4-17,有限会社つるや,5457106511872182,04/28,180116930381
坂田 菜々子,さかた ななこ,34,1987-10-19,女,A,sakata_nanako@example.ne.jp,0567-98-6320,090-1577-4109,640-0403,和歌山県紀の川市貴志川町尼寺4-4-3,有限会社コスモ,373738186093663,05/25,287413832843
鶴井 耕一,つるい こういち,42,1980-02-18,男,A,kouichitsurui@example.co.jp,03-7555-5006,070-2580-1115,668-0238,兵庫県豊岡市出石町弘原1-3-13,株式会社ブレイブ,4852722933392711,01/29,462690503700
安田 美沙子,やすだ みさこ,77,1944-10-30,女,O,misako_yasuda@example.co.jp,0453-83-6475,080-3470-6968,509-2206,岐阜県下呂市幸田5-2-15,NaN,5796603716521463,03/32,585385197090
金井 一馬,かない かずま,35,1987-01-17,男,B,kazuma_kanai@example.com,0754-63-5567,070-7330-5145,857-0134,長崎県佐世保市瀬戸越5-4-24,有限会社橋本商店,370177774223938,05/31,760311388745
二見 貴彦,ふたみ たかひこ,46,1976-07-04,男,A,futami_takahiko@example.com,03-8212-6783,080-8853-2917,781-4211,高知県香美市香北町韮生野5-1-9,有限会社岩崎商店,4013490920411358,11/31,170511534237
青田 英代,あおた ひでよ,78,1944-05-01,女,A,hideyo_aota@example.jp,08-5853-3380,080-7219-1528,426-0028,静岡県藤枝市益津下1-4-25,NaN,5183490200692875,12/28,861365886806
