,氏名,氏名（ひらがな）,年齢,生年月日,性別,血液型,メアド,電話番号,携帯電話番号,郵便番号,住所,会社名,クレジットカード,有効期限,マイナンバー
0,松澤 哲平,まつざわ てっぺい,20,2002-06-27,男,O,matsuzawa@example.jp,0664-26-2672,080-2069-3157,453-0061,愛知県名古屋市中村区日比津町1-5-29,株式会社TMコーポレーション,4665973525426645,09/22,190268960517
1,木村 怜子,きむら さとこ,22,2000-04-25,女,AB,satoko_kimura@example.com,03-8058-8086,050-4781-8790,866-0071,熊本県八代市高下東町2-1-23,株式会社オーパス,5215577360304333,01/27,355148085745
2,濱村 昭男,はまむら あきお,75,1947-04-12,男,AB,akio_hamamura@example.com,0521-11-8215,050-9810-8245,990-111,北海道紋別郡遠軽町白滝2-2-3,NaN,4359013005688556,07/31,984746793627
3,安倍 工,あべ こう,79,1942-12-25,男,A,abe@example.net,03-1206-3720,050-3693-8525,602-0053,京都府京都市上京区中小川町1-1-3,NaN,4173821981741199,01/25,494211625779
4,冨安 綾香,とみやす あやか,20,2002-07-04,女,A,tomiyasu@example.ne.jp,07-1802-3879,070-9814-2726,796-0041,愛媛県八幡浜市裁判所通5-2-12,株式会社丸幸,375396906549285,07/30,208629215932
5,藤 佳子,ふじ よしこ,57,1965-01-14,女,O,yoshiko_fuji@example.ne.jp,03-3086-3989,070-1101-2800,866-0865,熊本県八代市北の丸町4-5-7,有限会社井上商店,4109390370933701,08/28,525066371440
6,田邊 士郎,たなべ しろう,49,1973-04-08,男,AB,shirou_tanabe@example.net,05-6358-9857,070-4681-8923,623-0232,京都府綾部市舘町4-3-16,株式会社田中組,5919703484815561,07/28,332587568492
7,深尾 基,ふかお もとい,28,1994-01-18,男,AB,fukao_motoi@example.net,0567-53-7508,070-1115-9228,612-0878,京都府京都市伏見区深草田谷町2-1-18,富士商事株式会社,4351493824131819,04/31,176776344475
8,鶴原 知子,つるはら ともこ,48,1974-02-19,女,A,tsuruhara_tomoko@example.jp,0766-54-5440,050-8042-7768,372-0826,群馬県伊勢崎市福島町4-2-1,株式会社アイプランニング,4637998321843563,07/32,725222224666
9,角田 英朗,つのだ ひでお,20,2002-02-01,男,B,hideo@example.jp,0891-72-4473,080-9083-5053,661-0973,兵庫県尼崎市善法寺町4-5-1,有限会社オーテック,5127894114613644,12/26,492562751426
10,横江 敏,よこえ さとし,26,1996-07-23,男,O,satoshiyokoe@example.jp,0574-74-6829,070-5407-1772,311-3516,茨城県行方市井上藤井1-2-7,株式会社タカハシ,4961355017618596,08/23,560950760020
11,久家 耕一,くげ こういち,37,1985-04-30,男,O,kuge_kouichi@example.co.jp,06-2498-5956,080-8570-8882,929-0453,石川県河北郡津幡町岩崎2-2-2,株式会社雅工業,371125089215648,11/28,653092919803
12,竹山 一秀,たけやま かずひで,21,2001-04-23,男,O,takeyama_kazuhide@example.jp,04-5074-3617,080-7964-6833,277-0088,千葉県柏市ひばりが丘2-5-14,中央建設株式会社,374810928724314,10/25,312119986123
13,村尾 太志,むらお たいし,21,2001-03-05,男,A,muraotaishi@example.co.jp,05-8154-6976,070-6984-4294,952-1645,新潟県佐渡市高瀬1-5-18,株式会社青空,375414160972914,07/27,212453590858
14,小嶋 ヒロミ,こじま ひろみ,35,1987-06-19,その他・不明,O,hiromi@example.co.jp,05-3539-6317,070-6555-1322,460-552,北海道余市郡赤井川村明治3-2-14,株式会社グリーンライフ,4729014205587099,09/27,372910418476
15,山脇 祥之,やまわき よしゆき,20,2002-08-20,男,AB,yamawaki_yoshiyuki@example.ne.jp,04-4724-2665,080-2723-5937,959-0310,新潟県西蒲原郡弥彦村美山4-2-18,有限会社リバティ,4556561276086866,07/24,963327747396
16,小出 純治,こいで じゅんじ,24,1998-01-19,男,B,junjikoide@example.jp,0753-47-8442,050-4040-7265,600-8325,京都府京都市下京区西側町5-2-23,株式会社ヤマイチ,5718407885556844,06/26,934395180720
17,寺内 真央,てらうち まお,74,1947-11-05,男,AB,terauchi@example.com,07-8962-3990,070-9749-3434,759-4402,山口県長門市日置中5-1-2,NaN,370065456552997,11/25,966825214846
18,高岡 彰範,たかおか あきのり,68,1954-04-12,男,A,takaoka_akinori@example.ne.jp,0676-30-7880,080-2427-5714,319-1111,茨城県那珂郡東海村舟石川1-3-28,NaN,4539623817532324,08/30,788323836536
19,葵 雄希,あおい ゆうき,20,2002-07-26,男,O,aoi_yuuki@example.ne.jp,0792-35-3468,080-1575-6995,470-0335,愛知県豊田市青木町2-3-7,有限会社松本製作所,4999937995062396,05/23,781618292238
20,藤木 健一,ふじき けんいち,22,2000-06-26,男,O,fujikiken'ichi@example.co.jp,0416-56-5723,050-9818-1989,442-0835,愛知県豊川市新桜町通5-4-14,有限会社イースト,5553325582670472,11/29,408839302954
21,伊佐 りえこ,いさ りえこ,27,1995-03-05,女,AB,rieko@example.jp,03-9846-7698,050-7304-4889,556-0017,大阪府大阪市浪速区湊町2-5-17,株式会社トーコー,5957212775101932,04/24,251405048779
22,三谷 穂高,みたに ほたか,51,1971-05-11,男,B,hotakamitani@example.co.jp,06-6934-6384,050-8241-9469,633-0121,奈良県桜井市白河5-1-24,株式会社オーシャン,377266602284431,06/25,193586988040
23,藤岡 隆寛,ふじおか たかひろ,20,2002-05-11,男,AB,takahiro@example.jp,04-7218-4691,070-9165-5005,925-0453,石川県羽咋郡志賀町里本江2-1-13,株式会社フレスコ,4352267195723514,05/27,756055022890
24,安村 隆子,やすむら たかこ,41,1980-12-13,女,O,yasumura@example.co.jp,03-2723-9943,050-3813-3534,573-0085,大阪府枚方市香里園東之町3-3-16,株式会社蔵,5580565502540245,12/30,364680023022
25,萬田 志郎,まんだ しろう,69,1953-01-13,男,AB,shirou_manda@example.com,03-3021-2107,070-4614-6877,753-0801,山口県山口市中尾4-5-22,NaN,370664778947644,10/27,958051468067
26,星子 満,ほしこ みちる,76,1945-11-16,男,O,michiru_hoshiko@example.ne.jp,03-3694-1422,090-4130-8704,379-1613,群馬県利根郡みなかみ町高日向2-4-22,NaN,4221318771313888,11/28,221765564334
